Id,Price
1461,128337.935
1462,155802.475
1463,188851.255
1464,188485.66
1465,205392.125
1466,183274.225
1467,170235.855
1468,173325.67
1469,178038.905
1470,115827.85
1471,190848.98
1472,93458.75
1473,102792.0
1474,152150.16
1475,142905.725
1476,363868.62
1477,252103.49
1478,291737.36
1479,245745.49
1480,394385.975
1481,307164.1
1482,209091.255
1483,177185.42
1484,174814.74
1485,170100.285
1486,202619.175
1487,319475.355
1488,242976.885
1489,215575.51
1490,200414.445
1491,192083.225
1492,102363.435
1493,178860.995
1494,292775.31
1495,308415.375
1496,214371.24
1497,189039.715
1498,151817.945
1499,152052.08
1500,157510.135
1501,171790.615
1502,161977.585
1503,291512.865
1504,231967.175
1505,214078.95
1506,179435.235
1507,229107.125
1508,208190.0
1509,163779.91
1510,150871.4
1511,150608.855
1512,170442.875
1513,147750.42
1514,177176.49
1515,182804.22
1516,170537.25
1517,152715.625
1518,128452.035
1519,229400.53
1520,137597.125
1521,145335.125
1522,167453.25
1523,109807.75
1524,120722.56
1525,128368.5
1526,125289.25
1527,108521.32
1528,128599.25
1529,141023.0
1530,166734.415
1531,129545.16
1532,105951.5
1533,146942.035
1534,116474.79
1535,165893.165
1536,120324.125
1537,87929.52
1538,194537.33
1539,243156.99
1540,114099.24
1541,144969.035
1542,146944.7
1543,212281.865
1544,79347.25
1545,107203.75
1546,127248.415
1547,132969.305
1548,134438.905
1549,121104.07
1550,142933.37
1551,116744.8
1552,149025.755
1553,149342.835
1554,110828.8
1555,187412.05
1556,99727.37
1557,128831.7
1558,95213.31
1559,115073.45
1560,150809.35
1561,147623.89
1562,126681.925
1563,122408.5
1564,164644.03
1565,154971.335
1566,201288.945
1567,84281.75
1568,229532.895
1569,155244.42
1570,127360.91666666669
1571,138618.085
1572,142553.0
1573,229459.54
1574,135386.425
1575,209502.82
1576,220378.25
1577,204681.06
1578,152024.425
1579,143943.8
1580,194613.47
1581,142175.7
1582,126761.75
1583,336517.665
1584,243890.91
1585,138691.60833333334
1586,72778.75
1587,110448.5
1588,146097.75
1589,101414.75
1590,134173.5
1591,101825.0
1592,125716.78
1593,125064.46666666667
1594,128596.285
1595,131414.465
1596,224605.76
1597,171289.725
1598,182956.605
1599,212316.69
1600,191679.63
1601,81236.0
1602,120968.08
1603,101140.77
1604,278168.975
1605,250696.665
1606,168079.91
1607,166784.58
1608,208844.01
1609,200969.575
1610,161071.61
1611,152052.25
1612,166027.325
1613,165906.495
1614,120608.25
1615,90747.0
1616,87657.75
1617,90255.75
1618,126463.0
1619,133201.515
1620,158223.715
1621,142236.015
1622,144841.195
1623,306906.68
1624,219117.05
1625,132914.25
1626,173596.4
1627,191276.535
1628,296538.615
1629,171940.225
1630,332652.38
1631,224637.66
1632,257186.955
1633,167010.835
1634,180747.81
1635,179496.005
1636,163069.68
1637,181871.425
1638,215014.965
1639,181694.85
1640,253226.495
1641,187378.635
1642,218587.52
1643,218739.67
1644,233879.895
1645,186420.55
1646,154372.25
1647,162146.44
1648,139572.53
1649,140698.75
1650,119508.0
1651,116056.965
1652,93195.0
1653,99354.25
1654,156269.75
1655,155080.475
1656,151751.61
1657,156825.015
1658,155053.875
1659,145266.26785714284
1660,146047.245
1661,408539.4
1662,379431.995
1663,381624.17
1664,401260.405
1665,317948.005
1666,335237.255
1667,341629.71
1668,337529.95
1669,292012.96
1670,343233.905
1671,258266.03
1672,430935.615
1673,305702.28
1674,254382.665
1675,186871.17
1676,185260.015
1677,206167.14
1678,371697.295
1679,364615.035
1680,332466.575
1681,267251.945
1682,303176.715
1683,184553.36
1684,173786.41
1685,172528.435
1686,168493.96
1687,165635.03
1688,189965.08
1689,191292.125
1690,182508.275
1691,171259.975
1692,260232.845
1693,166906.88
1694,183268.695
1695,167249.64
1696,270023.655
1697,169249.02
1698,349221.385
1699,328227.01
1700,244575.98
1701,270739.18
1702,263784.335
1703,249820.025
1704,315021.54
1705,232543.32
1706,360138.325
1707,221798.07
1708,218512.7
1709,276951.785
1710,227342.325
1711,255421.25
1712,230570.415
1713,241161.9
1714,217749.065
1715,195772.99
1716,183541.255
1717,162605.71
1718,140001.725
1719,203803.425
